导出时间: 2026-04-14 20:36:34

==== points ====
store_id	store_name	lng	lat
115.951455,39.727194->116.293779,39.932676	396081	393416	115.951455	39.727194	116.293779	39.932676	48.216	49.417	2026-04-06 10:24:13
115.951455,39.727194->116.295586,39.819983	396081	395017	115.951455	39.727194	116.295586	39.819983	40.657	46.383	2026-04-06 10:24:13
115.951455,39.727194->116.299361,40.052996	396081	394123	115.951455	39.727194	116.299361	40.052996	67.690	63.467	2026-04-06 10:24:13
115.951455,39.727194->116.30276,39.85819	396081	395092	115.951455	39.727194	116.30276	39.85819	42.660	43.833	2026-04-06 10:24:13
115.951455,39.727194->116.302953,39.825739	396081	395470	115.951455	39.727194	116.302953	39.825739	41.585	48.567	2026-04-06 10:24:13
115.951455,39.727194->116.302993,39.880488	396081	395411	115.951455	39.727194	116.302993	39.880488	43.605	43.317	2026-04-06 10:24:13
115.951455,39.727194->116.304557,39.984216	396081	394112	115.951455	39.727194	116.304557	39.984216	53.606	51.083	2026-04-06 10:24:13
115.951455,39.727194->116.304696,39.504597	396081	396495	115.951455	39.727194	116.304696	39.504597	60.986	59.917	2026-04-06 10:24:13
115.951455,39.727194->116.305218,39.927543	396081	394196	115.951455	39.727194	116.305218	39.927543	49.264	50.117	2026-04-06 10:24:13
115.951455,39.727194->116.306743,39.96834	396081	394072	115.951455	39.727194	116.306743	39.96834	52.723	56.167	2026-04-06 10:24:13
115.951455,39.727194->116.307285,40.055996	396081	394150	115.951455	39.727194	116.307285	40.055996	68.905	67.550	2026-04-06 10:24:13
115.951455,39.727194->116.311429,40.040443	396081	394122	115.951455	39.727194	116.311429	40.040443	62.974	63.683	2026-04-06 10:24:13
115.951455,39.727194->116.311559,40.05294	396081	394620	115.951455	39.727194	116.311559	40.05294	64.931	66.417	2026-04-06 10:24:13
115.951455,39.727194->116.312405,40.030785	396081	394089	115.951455	39.727194	116.312405	40.030785	61.930	60.033	2026-04-06 10:24:13
115.951455,39.727194->116.324587,39.907034	396081	394105	115.951455	39.727194	116.324587	39.907034	46.963	47.633	2026-04-06 10:24:13
115.951455,39.727194->116.325085,39.967721	396081	394142	115.951455	39.727194	116.325085	39.967721	54.833	54.617	2026-04-06 10:24:13
115.951455,39.727194->116.325314,39.737777	396081	396141	115.951455	39.727194	116.325314	39.737777	39.968	47.167	2026-04-06 10:24:13
115.951455,39.727194->116.326686,39.983418	396081	394024	115.951455	39.727194	116.326686	39.983418	55.666	54.550	2026-04-06 10:24:13
115.951455,39.727194->116.32869,39.90056	396081	394075	115.951455	39.727194	116.32869	39.90056	45.741	53.283	2026-04-06 10:24:13
115.951455,39.727194->116.329246,39.867851	396081	395302	115.951455	39.727194	116.329246	39.867851	44.036	43.850	2026-04-06 10:24:13
115.951455,39.727194->116.330624,39.99367	396081	394451	115.951455	39.727194	116.330624	39.99367	57.259	58.900	2026-04-06 10:24:13
115.951455,39.727194->116.33125,39.926651	396081	394096	115.951455	39.727194	116.33125	39.926651	49.953	52.200	2026-04-06 10:24:13
115.951455,39.727194->116.331647,39.926864	396081	394085	115.951455	39.727194	116.331647	39.926864	50.541	54.150	2026-04-06 10:24:13
115.951455,39.727194->116.33434,39.956688	396081	394103	115.951455	39.727194	116.33434	39.956688	55.285	56.050	2026-04-06 10:24:13
115.951455,39.727194->116.334383,39.995077	396081	394485	115.951455	39.727194	116.334383	39.995077	57.192	58.133	2026-04-06 10:24:13
115.951455,39.727194->116.340559,39.792123	396081	396388	115.951455	39.727194	116.340559	39.792123	40.754	44.933	2026-04-06 10:24:13
115.951455,39.727194->116.341014,39.784747	396081	396449	115.951455	39.727194	116.341014	39.784747	39.973	42.983	2026-04-06 10:24:13
115.951455,39.727194->116.34551,40.02999	396081	394437	115.951455	39.727194	116.34551	40.02999	64.628	62.383	2026-04-06 10:24:13
115.951455,39.727194->116.347328,40.060039	396081	394405	115.951455	39.727194	116.347328	40.060039	71.101	69.083	2026-04-06 10:24:13
115.951455,39.727194->116.351609,40.046952	396081	394406	115.951455	39.727194	116.351609	40.046952	69.768	67.233	2026-04-06 10:24:13
115.951455,39.727194->116.352338,39.993645	396081	394118	115.951455	39.727194	116.352338	39.993645	58.514	57.167	2026-04-06 10:24:13
115.951455,39.727194->116.354314,39.976372	396081	393425	115.951455	39.727194	116.354314	39.976372	57.183	56.500	2026-04-06 10:24:13
115.951455,39.727194->116.356694,40.046812	396081	394510	115.951455	39.727194	116.356694	40.046812	69.399	69.017	2026-04-06 10:24:13
115.951455,39.727194->116.363407,39.97957	396081	394073	115.951455	39.727194	116.363407	39.97957	59.749	57.733	2026-04-06 10:24:13
115.951455,39.727194->116.39134,39.999987	396081	393016	115.951455	39.727194	116.39134	39.999987	64.291	65.883	2026-04-06 10:24:13
115.951455,39.727194->116.392882,39.845277	396081	395606	115.951455	39.727194	116.392882	39.845277	52.429	54.800	2026-04-06 10:24:13
115.951455,39.727194->116.393852,39.987244	396081	393167	115.951455	39.727194	116.393852	39.987244	61.268	58.267	2026-04-06 10:24:13
115.951455,39.727194->116.406253,40.032747	396081	393168	115.951455	39.727194	116.406253	40.032747	70.007	64.883	2026-04-06 10:24:13
115.951455,39.727194->116.40952,40.07454	396081	398090	115.951455	39.727194	116.40952	40.07454	74.866	79.383	2026-04-06 10:24:13
115.951455,39.727194->116.420667,39.542956	396081	396255	115.951455	39.727194	116.420667	39.542956	66.782	61.733	2026-04-06 10:24:13
115.951455,39.727194->116.422267,39.864007	396081	395274	115.951455	39.727194	116.422267	39.864007	58.669	59.683	2026-04-06 10:24:13
115.951455,39.727194->116.436539,39.920482	396081	393082	115.951455	39.727194	116.436539	39.920482	59.889	63.617	2026-04-06 10:24:13
115.951455,39.727194->116.437548,40.025676	396081	393557	115.951455	39.727194	116.437548	40.025676	72.480	66.533	2026-04-06 10:24:13
115.951455,39.727194->116.437889,39.90769	396081	393032	115.951455	39.727194	116.437889	39.90769	58.688	64.367	2026-04-06 10:24:13
115.951455,39.727194->116.443233,39.907435	396081	393688	115.951455	39.727194	116.443233	39.907435	58.797	62.950	2026-04-06 10:24:13
115.951455,39.727194->116.459044,39.918732	396081	393003	115.951455	39.727194	116.459044	39.918732	62.819	65.117	2026-04-06 10:24:13
115.951455,39.727194->116.459779,39.949593	396081	393651	115.951455	39.727194	116.459779	39.949593	66.255	65.117	2026-04-06 10:24:13
115.951455,39.727194->116.460515,39.951506	396081	393188	115.951455	39.727194	116.460515	39.951506	65.868	64.300	2026-04-06 10:24:13
115.951455,39.727194->116.460582,39.882082	396081	393034	115.951455	39.727194	116.460582	39.882082	56.305	62.883	2026-04-06 10:24:13
115.951455,39.727194->116.46267,39.92189	396081	393009	115.951455	39.727194	116.46267	39.92189	63.045	65.467	2026-04-06 10:24:13
115.951455,39.727194->116.469141,39.891076	396081	393010	115.951455	39.727194	116.469141	39.891076	60.208	63.067	2026-04-06 10:24:13
115.951455,39.727194->116.469817,39.951399	396081	393380	115.951455	39.727194	116.469817	39.951399	66.648	67.933	2026-04-06 10:24:13
115.951455,39.727194->116.472652,40.11573	396081	398170	115.951455	39.727194	116.472652	40.11573	99.007	85.150	2026-04-06 10:24:13
115.951455,39.727194->116.472661,39.992102	396081	393206	115.951455	39.727194	116.472661	39.992102	69.198	74.033	2026-04-06 10:24:13
115.951455,39.727194->116.473406,39.991687	396081	393303	115.951455	39.727194	116.473406	39.991687	69.155	75.200	2026-04-06 10:24:13
115.951455,39.727194->116.47363,39.991592	396081	393244	115.951455	39.727194	116.47363	39.991592	69.150	75.200	2026-04-06 10:24:13
115.951455,39.727194->116.481167,40.001263	396081	393067	115.951455	39.727194	116.481167	40.001263	75.947	73.067	2026-04-06 10:24:13
115.951455,39.727194->116.489586,40.000118	396081	393546	115.951455	39.727194	116.489586	40.000118	76.448	71.283	2026-04-06 10:24:13
115.951455,39.727194->116.494406,40.022532	396081	393675	115.951455	39.727194	116.494406	40.022532	77.873	72.200	2026-04-06 10:24:13
115.951455,39.727194->116.496416,39.876565	396081	393033	115.951455	39.727194	116.496416	39.876565	64.782	64.350	2026-04-06 10:24:13
115.951455,39.727194->116.521562,39.911896	396081	393220	115.951455	39.727194	116.521562	39.911896	71.741	67.317	2026-04-06 10:24:13
115.951455,39.727194->116.538769,39.77202	396081		115.951455	39.727194	116.538769	39.77202	59.001	59.783	2026-04-06 10:24:13
115.951455,39.727194->116.56231,39.78751	396081	396276	115.951455	39.727194	116.56231	39.78751	64.313	65.217	2026-04-06 10:24:13
115.951455,39.727194->116.58848,40.04776	396081		115.951455	39.727194	116.58848	40.04776	87.913	79.800	2026-04-06 10:24:13
115.951455,39.727194->116.591086,40.048539	396081	393046	115.951455	39.727194	116.591086	40.048539	87.585	78.100	2026-04-06 10:24:13
115.951455,39.727194->116.604808,39.916468	396081	393035	115.951455	39.727194	116.604808	39.916468	75.054	74.400	2026-04-06 10:24:13
115.951455,39.727194->116.614799,40.054869	396081	393152	115.951455	39.727194	116.614799	40.054869	90.218	80.183	2026-04-06 10:24:13
115.951455,39.727194->116.615649,39.925719	396081	393399	115.951455	39.727194	116.615649	39.925719	76.936	78.217	2026-04-06 10:24:13
115.951455,39.727194->116.625327,40.046366	396081	393156	115.951455	39.727194	116.625327	40.046366	89.689	80.017	2026-04-06 10:24:13
115.951455,39.727194->116.637507,40.337397	396081	398558	115.951455	39.727194	116.637507	40.337397	123.420	98.850	2026-04-06 10:24:13
115.951455,39.727194->116.660224,39.916397	396081	397682	115.951455	39.727194	116.660224	39.916397	79.328	77.950	2026-04-06 10:24:13
115.951455,39.727194->117.27877,40.654803	396081	399520	115.951455	39.727194	117.27877	40.654803	202.869	148.817	2026-04-06 10:24:13
115.984201,39.701947->115.951455,39.727194	396053	396081	115.984201	39.701947	115.951455	39.727194	4.925	14.067	2026-04-06 10:24:13
115.984201,39.701947->116.074642,39.711901	396053	396058	115.984201	39.701947	116.074642	39.711901	10.048	18.383	2026-04-06 10:24:13
115.984201,39.701947->116.12147,40.090637	396053	394560	115.984201	39.701947	116.12147	40.090637	60.852	53.500	2026-04-06 10:24:13
115.984201,39.701947->116.123151,39.905473	396053	399569	115.984201	39.701947	116.123151	39.905473	37.650	38.650	2026-04-06 10:24:13
115.984201,39.701947->116.123776,39.90516	396053	399670	115.984201	39.701947	116.123776	39.90516	37.861	39.950	2026-04-06 10:24:13
115.984201,39.701947->116.130385,40.068963	396053	394258	115.984201	39.701947	116.130385	40.068963	58.034	51.100	2026-04-06 10:24:13
115.984201,39.701947->116.141693,39.729179	396053	396054	115.984201	39.701947	116.141693	39.729179	15.775	27.133	2026-04-06 10:24:13
115.984201,39.701947->116.177384,39.910812	396053	399548	115.984201	39.701947	116.177384	39.910812	40.816	44.000	2026-04-06 10:24:13
115.984201,39.701947->116.18103,40.04876	396053	394488	115.984201	39.701947	116.18103	40.04876	61.161	54.700	2026-04-06 10:24:13
115.984201,39.701947->116.184607,40.058039	396053	394070	115.984201	39.701947	116.184607	40.058039	60.804	56.167	2026-04-06 10:24:13
115.984201,39.701947->116.184831,40.057682	396053	394526	115.984201	39.701947	116.184831	40.057682	60.873	56.217	2026-04-06 10:24:13
