调度结果抽取时间: 2026-04-14 15:05:01
来源runId: run-1776149034085
activeResultKey: pso
结果对象key: pso

【按车号统计店铺数】
京LJD975 | 店铺数=1
京ACQ5735 | 店铺数=2
京FNV919 | 店铺数=2
京AE32316 | 店铺数=3
京LKW990 | 店铺数=3
京N7JE86 | 店铺数=3
京MQJ320 | 店铺数=4
京A0VW61 | 店铺数=5
京APZ172 | 店铺数=5
京JLN188 | 店铺数=5
京KEP596 | 店铺数=5
京Q21WD8 | 店铺数=5
京A2JU95 | 店铺数=6
京FAM639 | 店铺数=6
京JLY168 | 店铺数=6
京FLV125 | 店铺数=7
京HKB181 | 店铺数=7
京LHR562 | 店铺数=7
京MHE650 | 店铺数=7
京N8TU73 | 店铺数=7
京EKD592 | 店铺数=8
京Q55WU6 | 店铺数=8
京A7JH28 | 店铺数=10
京MHM706 | 店铺数=10
京HJH201 | 店铺数=11
京LNJ896 | 店铺数=11
京N2JU95 | 店铺数=11
京N0NS61 | 店铺数=12
京N7MR82 | 店铺数=12
空车数量(0家): 0

【门店表中车号为空】数量: 195
478572 | 张家口宣化光大店 | 波次=3 | 货量=0.13626
478573 | 张家口宣化皇城店 | 波次=3 | 货量=0.087356
478581 | 张家口古宏大街店 | 波次=3 | 货量=0.07334
478582 | 张家口北方学院西校区店 | 波次=3 | 货量=0.105151
478583 | 张家口怀来新城佳苑店 | 波次=3 | 货量=0.063446
478584 | 张家口怀来新东方店 | 波次=3 | 货量=0.08495
478610 | 张家口职业技术学院店 | 波次=3 | 货量=0.077475
478648 | 张家口乐享城店 | 波次=3 | 货量=0.053146

================ 分算法统计 ================
统计时间: 2026-04-14 15:09:32
runId: run-1776149034085

[pso] 粒子群算法
- 每车店铺数合计: 189
- 空车数(0家): 0
- 真实未分配(按路线反推, load>0): 44

[aco] 蚁群算法（ACO）
- 每车店铺数合计: 269
- 空车数(0家): 0
- 真实未分配(按路线反推, load>0): 30

[lns] 大邻域搜索
- 每车店铺数合计: 258
- 空车数(0家): 0
- 真实未分配(按路线反推, load>0): 37

[sa] 模拟退火
- 每车店铺数合计: 260
- 空车数(0家): 0
- 真实未分配(按路线反推, load>0): 32

[savings] Clark-Wright节约法
- 每车店铺数合计: 241
- 空车数(0家): 0
- 真实未分配(按路线反推, load>0): 32

[tabu] 禁忌搜索
- 每车店铺数合计: 241
- 空车数(0家): 0
- 真实未分配(按路线反推, load>0): 31

