导出时间: 2026-04-14 20:36:30

==== store_wave_load_resolved ====
shop_code	wave_belongs	wave1_load	wave2_load	wave3_load	wave4_load	total_resolved_load	first_wave_time	second_wave_time	arrival_time_w3	arrival_time_w4	updated_at
395412	3	0	0	0.037331	0	0.037331	None	None	05:30	None	2026-04-14 18:42:48
395413	3	0	0	0.114192	0	0.114192	None	None	05:00	None	2026-04-14 18:42:48
395470	2	0	0.141561	0	0	0.141561	None	03:40	None	None	2026-04-14 18:42:48
395606	2	0	0.101611	0	0	0.101611	None	03:20	None	None	2026-04-14 18:42:48
395708	3	0	0	0	0	0	None	None	23:00	None	2026-04-14 18:42:48
395710	4	0	0	0	0	0	None	None	None	18:00	2026-04-14 18:42:48
396053	3	0	0	0.062356	0	0.062356	None	None	04:30	None	2026-04-14 18:42:48
396054	3	0	0	0.072225	0	0.072225	None	None	03:10	None	2026-04-14 18:42:48
396058	3	0	0	0.08079	0	0.08079	None	None	02:10	None	2026-04-14 18:42:48
396081	3	0	0	0.208058	0	0.208058	None	None	03:40	None	2026-04-14 18:42:48
396141	3	0	0	0.202569	0	0.202569	None	None	00:50	None	2026-04-14 18:42:48
396255	3	0	0	0.259831	0	0.259831	None	None	00:20	None	2026-04-14 18:42:48
396276	2	0	0.048058	0	0	0.048058	None	01:30	None	None	2026-04-14 18:42:48
396388	3	0	0	0.107757	0	0.107757	None	None	01:20	None	2026-04-14 18:42:48
396449	3	0	0	0.040608	0	0.040608	None	None	23:30	None	2026-04-14 18:42:48
396495	3	0	0	0.156698	0	0.156698	None	None	00:01	None	2026-04-14 18:42:48
396706	3	0	0	0	0	0	None	None	23:00	None	2026-04-14 18:42:48
397398	3	0	0	0.026354	0	0.026354	None	None	04:30	None	2026-04-14 18:42:48
397682	2,1	0.096955	0.025714	0	0	0.122669	23:35	02:30	None	None	2026-04-14 18:42:48
398090	2,1	0.054405	0.022857	0	0	0.077262	21:00	02:30	None	None	2026-04-14 18:42:48
398170	2,1	0.089925	0.031429	0	0	0.121354	20:30	02:00	None	None	2026-04-14 18:42:48
398439	2	0	0.056429	0	0	0.056429	None	05:30	None	None	2026-04-14 18:42:48
398558	3	0	0	0.201717	0	0.201717	None	None	23:00	None	2026-04-14 18:42:48
398689	2	0	0	0	0	0	None	05:30	None	None	2026-04-14 18:42:48
398708	3	0	0	0	0	0	None	None	23:00	None	2026-04-14 18:42:48
398718	2,1	0	0	0	0	0	22:00	04:00	None	None	2026-04-14 18:42:48
399519	3	0	0	0.122237	0	0.122237	None	None	02:30	None	2026-04-14 18:42:48
399520	3	0	0	0.0674	0	0.0674	None	None	03:00	None	2026-04-14 18:42:48
399548	2,1	0.059668	0.031429	0	0	0.091097	23:15	03:10	None	None	2026-04-14 18:42:48
399569	2,1	0.111442	0.04	0	0	0.151442	22:45	02:50	None	None	2026-04-14 18:42:48
399670	2,1	0.056604	0.02	0	0	0.076604	00:15	01:50	None	None	2026-04-14 18:42:48
399722	2	0	0.104731	0	0	0.104731	None	01:30	None	None	2026-04-14 18:42:48
